ா	a
தொந்தரவு	t̪on̪t̪aɾaʋu
தொடர்பாக	t̪oʈaɾpaːka
தொடர்பான	t̪oʈaɾpaːna
தோனியைத்	t̪oːnijajt̪
துறைக்கு	t̪urajkku
துச்சமாக	t̪ut͡ʃt͡ʃamaːka
துணையோடு	t̪uɳajjoːʈu
துருக்கி	t̪uɾukki
சாய்கோடு	t͡ɕ aː j ɡ oː ɖ u
சாம்பார்	t͡ɕ aː m b aː ɾ
சாமுவேல்	t͡ɕ aː m u ʋ eː l
சாப்பாடு	t͡ɕ aː pː aː ɖ u
சாப்பிடு	t͡ɕ aː pː i ɖ u
சாத்தான்	t͡ɕ aː t̪ː aː n
சாசுவதம்	t͡ɕ aː t͡ɕ u ʋ ɐ d̪ ɐ m
சார்த்து	t͡ɕ aː ɾ t̪ː u
செய்யோன்	t͡ɕ e jː oː n
செய்யுள்	t͡ɕ e jː u ɭ
செலுத்து	t͡ɕ e l u t̪ː u
செம்மீன்	t͡ɕ e mː iː n
செம்மொழி	t͡ɕ e mː o ɻ i
செந்நீர்	t͡ɕ e n̪ː iː ɾ
செழிப்பு	t͡ɕ e ɻ i pː u
செடிகொடி	t͡ɕ e ɖ i ɡ o ɖ i
செவிகொடு	t͡ɕ e ʋ i ɡ o ɖ u
செருக்கு	t͡ɕ e ɾ u kː u
செருப்பு	t͡ɕ e ɾ u pː u
செங்காடை	t͡ɕ e ŋ ɡ aː ɖ a ɪ̯
செங்கோல்	t͡ɕ e ŋ ɡ oː l
செங்களம்	t͡ɕ e ŋ ɡ ɐ ɭ ɐ m
செவ்வாய்	t͡ɕ e ʋː aː j
செவ்வனம்	t͡ɕ e ʋː ɐ n ɐ m
சேர்க்கை	t͡ɕ eː ɾ kː a ɪ̯
சேர்ப்பு	t͡ɕ eː ɾ pː u
சேர்த்தி	t͡ɕ eː ɾ t̪ː i
சேர்த்து	t͡ɕ eː ɾ t̪ː u
சிதறியம்	t͡ɕ i d̪ ɐ r i j ɐ m
சிக்கிம்	t͡ɕ i kː i m
சிமிட்டி	t͡ɕ i m i ʈː i
சிம்சோன்	t͡ɕ i m t͡ɕ oː n
சினைப்பை	t͡ɕ i n a ɪ̯ pː a ɪ̯
சினாடிகா	t͡ɕ i n aː ɖ i ɡ aː
சிப்பாய்	t͡ɕ i pː aː j
சிறீதரன்	t͡ɕ i r iː d̪ ɐ ɾ ɐ n
சிறுநீர்	t͡ɕ i r u n̪ iː ɾ
சிறுத்தை	t͡ɕ i r u t̪ː a ɪ̯
சிறுசெய்	t͡ɕ i r u t͡ɕ e j
சிறுவாள்	t͡ɕ i r u ʋ aː ɭ
சிற்றூர்	t͡ɕ i rː uː ɾ
சித்தார்	t͡ɕ i t̪ː aː ɾ
சித்திரை	t͡ɕ i t̪ː i ɾ a ɪ̯
சிரேட்டி	t͡ɕ i ɾ eː ʈː i
சிரிப்பு	t͡ɕ i ɾ i pː u
சிகிச்சை	t͡ɕ i ɡ i t͡ɕː a ɪ̯
சிவிங்கி	t͡ɕ i ʋ i ŋ ɡ i
சிருஷ்டி	t͡ɕ i ɾ u ʂ ʈ i
சிருட்டி	t͡ɕ i ɾ u ʈː i
சிங்களம்	t͡ɕ i ŋ ɡ ɐ ɭ ɐ m
சிவகங்கை	t͡ɕ i ʋ ɐ ɡ ɐ ŋ ɡ a ɪ̯
சொல்வளம்	t͡ɕ o l ʋ ɐ ɭ ɐ m
சொப்பனம்	t͡ɕ o pː ɐ n ɐ m
சொத்தால்	t͡ɕ o t̪ː aː l
சொத்தில்	t͡ɕ o t̪ː i l
சொத்தின்	t͡ɕ o t̪ː i n
சொத்தோடு	t͡ɕ o t̪ː oː ɖ u
சொடுக்கி	t͡ɕ o ɖ u kː i
சுந்தரம்	t͡ɕ u n̪ d̪ ɐ ɾ ɐ m
சுறாமீன்	t͡ɕ u r aː m iː n
சுவாசியா	t͡ɕ u ʋ aː t͡ɕ i j aː
சுகாசனம்	t͡ɕ u ɡ aː t͡ɕ ɐ n ɐ m
சுருக்கு	t͡ɕ u ɾ u kː u
சுளுக்கு	t͡ɕ u ɭ u kː u
சுரும்பு	t͡ɕ u ɾ u m b u
சுடுகாடு	t͡ɕ u ɖ u ɡ aː ɖ u
சுருட்டு	t͡ɕ u ɾ u ʈː u
சுண்டெலி	t͡ɕ u ɳ ɖ e l i
சூழலியல்	t͡ɕ uː ɻ ɐ l i j ɐ l
சதாசிவன்	t͡ɕ ɐ d̪ aː t͡ɕ i ʋ ɐ n
சயிக்கம்	t͡ɕ ɐ j i kː ɐ m
சமாதானம்	t͡ɕ ɐ m aː d̪ aː n ɐ m
சம்பங்கி	t͡ɕ ɐ m b ɐ ŋ ɡ i
சம்சாரம்	t͡ɕ ɐ m t͡ɕ aː ɾ ɐ m
சமுதாயம்	t͡ɕ ɐ m u d̪ aː j ɐ m
சமர்ப்பி	t͡ɕ ɐ m ɐ ɾ pː i
சம்மட்டி	t͡ɕ ɐ mː ɐ ʈː i
சந்திரன்	t͡ɕ ɐ n̪ d̪ i ɾ ɐ n
சந்தோஷம்	t͡ɕ ɐ n̪ d̪ oː ʂ ɐ m
சப்ரகமுவ	t͡ɕ ɐ p ɾ ɐ ɡ ɐ m u ʋ ɐ
சப்பங்கி	t͡ɕ ɐ pː ɐ ŋ ɡ i
சத்தாகம்	t͡ɕ ɐ t̪ː aː ɡ ɐ m
சத்தியம்	t͡ɕ ɐ t̪ː i j ɐ m
சத்திரம்	t͡ɕ ɐ t̪ː i ɾ ɐ m
சர்பராஜ்	t͡ɕ ɐ ɾ b ɐ ɾ aː d͡ʑ
சர்க்கரை	t͡ɕ ɐ ɾ kː ɐ ɾ a ɪ̯
சர்ப்பம்	t͡ɕ ɐ ɾ pː ɐ m
சடுத்தம்	t͡ɕ ɐ ɖ u t̪ː ɐ m
சண்டிகர்	t͡ɕ ɐ ɳ ɖ i ɡ ɐ ɾ
சங்கிரகி	t͡ɕ ɐ ŋ ɡ i ɾ ɐ ɡ i
சங்கீதம்	t͡ɕ ɐ ŋ ɡ iː d̪ ɐ m
சரண்புகு	t͡ɕ ɐ ɾ ɐ ɳ b u ɡ u
சட்டம்பி	t͡ɕ ɐ ʈː ɐ m b i
சவ்வரிசி	t͡ɕ ɐ ʋː ɐ ɾ i t͡ɕ i
சக்கத்தா	t͡ʃakkat̪t̪aː
சமாஜவாதி	t͡ʃamaːd͡ʒaʋaːt̪i
சன்மானம்	t͡ʃanmaːnam
சந்திகள்	t͡ʃan̪t̪ikaɭ
சபைக்கான	t͡ʃapajkkaːna
சதானந்த்	t͡ʃat̪aːnan̪t̪
சாலையில்	t͡ʃaːlajjil
சட்டத்தை	t͡ʃaʈʈat̪t̪aj
சார்பில்	t͡ʃaːɾpil
செயலாளர்	t͡ʃejalaːɭaɾ
செய்யும்	t͡ʃejjum
செய்தனர்	t͡ʃejt̪anaɾ
செய்தார்	t͡ʃejt̪aːɾ
செய்தித்	t͡ʃejt̪it̪
செய்வார்	t͡ʃejʋaːɾ
செய்வோம்	t͡ʃejʋoːm
செல்லும்	t͡ʃellum
செம்மொழி	t͡ʃemmoɻi
சென்னைய்	t͡ʃennajj
சென்னையை	t͡ʃennajjaj
சென்னைப்	t͡ʃennajp
சென்றனர்	t͡ʃenranaɾ
சேகரித்த	t͡ʃeːkaɾit̪t̪a
சேர்த்து	t͡ʃeːɾt̪t̪u
சிக்கிய்	t͡ʃikkij
சிமென்ட்	t͡ʃimenʈ
சிறையில்	t͡ʃirajjil
சிறப்பான	t͡ʃirappaːna
சொந்தமான	t͡ʃon̪t̪amaːna
சுயேச்சை	t͡ʃujeːt͡ʃt͡ʃaj
சுயேட்சை	t͡ʃujeːʈt͡ʃaj
சுற்றிய்	t͡ʃurrij
சுற்றுப்	t͡ʃurrup
சுதந்திர	t͡ʃut̪an̪t̪iɾa
சூழ்நிலை	t͡ʃuːɻn̪ilaj
சுட்டுக்	t͡ʃuʈʈuk
உபநிடதம்	u b ɐ n̪ i ɖ ɐ d̪ ɐ m
உயிரியல்	u j i ɾ i j ɐ l
உயிர்வளி	u j i ɾ ʋ ɐ ɭ i
உயர்திணை	u j ɐ ɾ d̪ i ɳ a ɪ̯
உயர்ச்சி	u j ɐ ɾ t͡ɕː i
உலர்ச்சி	u l ɐ ɾ t͡ɕː i
உறைவிடம்	u r a ɪ̯ ʋ i ɖ ɐ m
உற்சாகம்	u r t͡ɕ aː ɡ ɐ m
உறழ்ச்சி	u r ɐ ɻ t͡ɕː i
உருக்கம்	u ɾ u kː ɐ m
உருப்பம்	u ɾ u pː ɐ m
உண்டியல்	u ɳ ɖ i j ɐ l
உடலிலான்	u ɖ ɐ l i l aː n
உடனடியாக	u ɖ ɐ n ɐ ɖ i j aː ɡ ɐ
உண்டுபடு	u ɳ ɖ u b ɐ ɖ u
உணர்ப்பு	u ɳ ɐ ɾ pː u
உணர்த்தி	u ɳ ɐ ɾ t̪ː i
உணர்ச்சி	u ɳ ɐ ɾ t͡ɕː i
உழவுசால்	u ɻ ɐ ʋ u t͡ɕ aː l
உழவுகாடு	u ɻ ɐ ʋ u ɡ aː ɖ u
உள்ளங்கை	u ɭː ɐ ŋ ɡ a ɪ̯
உயர்ந்த்	ujaɾn̪t̪
உயர்த்தி	ujaɾt̪t̪i
உயிருடன்	ujiɾuʈan
உற்பத்தி	urpat̪t̪i
ஊர்க்கதை	uː ɾ kː ɐ d̪ a ɪ̯
ஊடுகதிர்	uː ɖ u ɡ ɐ d̪ i ɾ
ஊர்காவல்	uː ɾ ɡ aː ʋ ɐ l
உடைக்கப்	uʈajkkap
உடைப்பது	uʈajppat̪u
உடனடியாக	uʈanaʈijaːka
உடன்பாடு	uʈanpaːʈu
உணர்வைப்	uɳaɾʋajp
உங்களைச்	uŋkaɭajt͡ʃ
ஊதியத்தை	uːt̪ijat̪t̪aj
உள்ளதைய்	uɭɭat̪ajj
உள்ளதால்	uɭɭat̪aːl
உள்ளாகவே	uɭɭaːkaʋeː
உள்ளிட்ட	uɭɭiʈʈa
ஃஜிந்தகி	z i n̪ d̪ ɐ ɡ i
வைத்திரு	ʋ a ɪ̯ t̪ː i ɾ u
வைஷ்ணவம்	ʋ a ɪ̯ ʂ ɳ ɐ ʋ ɐ m
ராஜாத்தி	ɾ aː d͡ʑ aː t̪ː i
ராஜிநாமா	ɾ aː d͡ʑ i n̪ aː m aː
வாய்நீர்	ʋ aː j n̪ iː ɾ
வாய்ப்பு	ʋ aː j pː u
வாய்ச்சி	ʋ aː j t͡ɕː i
வாக்காடு	ʋ aː kː aː ɖ u
வால்மீன்	ʋ aː l m iː n
ராமநாதன்	ɾ aː m ɐ n̪ aː d̪ ɐ n
வானூர்தி	ʋ aː n uː ɾ d̪ i
வான்கோழி	ʋ aː n ɡ oː ɻ i
ராத்திரி	ɾ aː t̪ː i ɾ i
வாழைப்பூ	ʋ aː ɻ a ɪ̯ pː uː
ஞாஞ்சில்	ɲ aː ɲ d͡ʑ i l
வாழ்க்கை	ʋ aː ɻ kː a ɪ̯
வாழ்நாள்	ʋ aː ɻ n̪ aː ɭ
வார்த்தை	ʋ aː ɾ t̪ː a ɪ̯
வாழ்த்து	ʋ aː ɻ t̪ː u
வாழ்ச்சி	ʋ aː ɻ t͡ɕː i
ஆகுபெயர்	ʔ aː ɡ u p e j a ɾ̪
வாரப்படு	ʋ aː ɾ ɐ pː ɐ ɖ u
அபிமானம்	ɐ b i m aː n ɐ m
அபிமன்னு	ɐ b i m ɐ nː u
அபிஷேகம்	ɐ b i ʂ eː ɡ ɐ m
அதிதூதன்	ɐ d̪ i d̪ uː d̪ ɐ n
அதிகமாய்	ɐ d̪ i h ə m ɛː
அதிகாரம்	ɐ d̪ i ɡ aː ɾ ɐ m
அதிகமாய்	ɐ d̪ i ɡ ɐ m aː j
அதிட்டம்	ɐ d̪ i ʈː ɐ m
வெய்யோன்	ʋ e jː oː n
வெம்பகல்	ʋ e m b ɐ ɡ ɐ l
வெம்மணல்	ʋ e mː ɐ ɳ ɐ l
வெந்தயம்	ʋ e n̪ d̪ ɐ j ɐ m
வெந்நீர்	ʋ e n̪ː iː ɾ
வெப்புள்	ʋ e pː u ɭ
வெறிப்பு	ʋ e r i pː u
வெறுப்பு	ʋ e r u pː u
வெற்றிலை	ʋ e rː i l a ɪ̯
வெளியீடு	ʋ e ɭ i j iː ɖ u
வெளிமான்	ʋ e ɭ i m aː n
வெள்வேல்	ʋ e ɭ ʋ eː l
வெண்கலம்	ʋ e ɳ ɡ ɐ l ɐ m
வெள்ளாடு	ʋ e ɭː aː ɖ u
வெண்ணெய்	ʋ e ɳː e j
வேதாகமம்	ʋ eː d̪ aː ɡ ɐ m ɐ m
வேதனைகள்	ʋ eː d̪ ɐ n a ɪ̯ ɡ ɐ ɭ
வேதவியல்	ʋ eː d̪ ɐ ʋ i j ɐ l
வேலையாள்	ʋ eː l a ɪ̯ j aː ɭ
வேலைவளர்	ʋ eː l a ɪ̯ ʋ ɐ ɭ ɐ ɾ
வேறுபாடு	ʋ eː r u b aː ɖ u
வேற்றுமை	ʋ eː rː u m a ɪ̯
வேளாண்மை	ʋ eː ɭ aː ɳ m a ɪ̯
வேளாட்டி	ʋ eː ɭ aː ʈː i
வேங்கடம்	ʋ eː ŋ ɡ ɐ ɖ ɐ m
விதைப்பை	ʋ i d̪ a ɪ̯ pː a ɪ̯
வியாபாரி	ʋ i j aː b aː ɾ i
விக்சனரி	ʋ i k t͡ɕ ɐ n ɐ ɾ i
விமோசனம்	ʋ i m oː t͡ɕ ɐ n ɐ m
விமரிசம்	ʋ i m ɐ ɾ i t͡ɕ ɐ m
விநாயகன்	ʋ i n̪ aː j ɐ ɡ ɐ n
கிறுக்கு	ɡ i r u kː u
விசேடணம்	ʋ i t͡ɕ eː ɖ ɐ ɳ ɐ m
டிசம்பர்	ɖ i t͡ɕ ɐ m b ɐ ɾ
விளையாடு	ʋ i ɭ a ɪ̯ j aː ɖ u
விரைவில்	ʋ i ɾ a ɪ̯ ʋ i l
விண்மீன்	ʋ i ɳ m iː n
விரும்பு	ʋ i ɾ u m b u
விருந்து	ʋ i ɾ u n̪ d̪ u
விருத்தி	ʋ i ɾ u t̪ː i
விருஷ்டி	ʋ i ɾ u ʂ ʈ i
விழுங்கு	ʋ i ɻ u ŋ ɡ u
விண்வெளி	ʋ i ɳ ʋ e ɭ i
விளக்கம்	ʋ i ɭ ɐ kː ɐ m
விளம்பம்	ʋ i ɭ ɐ m b ɐ m
கிரந்தம்	ɡ i ɾ ɐ n̪ d̪ ɐ m
விவசாயம்	ʋ i ʋ ɐ t͡ɕ aː j ɐ m
விவகாரம்	ʋ i ʋ ɐ ɡ aː ɾ ɐ m
விண்கலம்	ʋ i ɳ ɡ ɐ l ɐ m
ஐயங்கார்	ɐ i̯ j ɐ ŋ ɡ aː ɾ
ஐக்கியம்	ɐ i̯ kː i j ɐ m
வீராசனம்	ʋ iː ɾ aː t͡ɕ ɐ n ɐ m
அயர்ச்சி	ɐ j ɐ ɾ t͡ɕː i
அக்டோபர்	ɐ k ʈ oː b ɐ ɾ
அக்கச்சி	ɐ kː ɐ t͡ɕː i
அலுவலகம்	ɐ l u ʋ ɐ l ɐ ɡ ɐ m
அலர்த்தி	ɐ l ɐ ɾ t̪ː i
அமைச்சன்	ɐ m a ɪ̯ t͡ɕː ɐ n
அமைச்சர்	ɐ m a ɪ̯ t͡ɕː ɐ ɾ
அமிர்தம்	ɐ m i ɾ d̪ ɐ m
அனைவரும்	ɐ n a ɪ̯ ʋ ɐ ɾ u m
அனுகூலம்	ɐ n u ɡ uː l ɐ m
அந்தண்டை	ɐ n̪ d̪ ɐ ɳ ɖ a ɪ̯
ரோஜ்கார்	ɾ oː d͡ʑ k aː ɾ
ரோமாபுரி	ɾ oː m aː b u ɾ i
ரோமாபுரி	ɾ oː m aː p u ɾ i
அப்புறம்	ɐ pː u r ɐ m
அறிவியல்	ɐ r i ʋ i j ɐ l
அற்புதம்	ɐ r p u d̪ ɐ m
அற்பகதம்	ɐ r p ɐ ɡ ɐ d̪ ɐ m
அறுகோணம்	ɐ r u ɡ oː ɳ ɐ m
அஸ்தமனம்	ɐ s t̪ ɐ m ɐ n ɐ m
அத்தாயம்	ɐ t̪ː aː j ɐ m
அத்தாளம்	ɐ t̪ː aː ɭ ɐ m
அசிங்கம்	ɐ t͡ɕ i ŋ ɡ ɐ m
அசர்த்து	ɐ t͡ɕ ɐ ɾ t̪ː u
ரும்மான்	ɾ u mː aː n
அடையாளம்	ɐ ɖ a ɪ̯ j aː ɭ ɐ m
அராவாரம்	ɐ ɾ aː ʋ aː ɾ ɐ m
அர்ஜுனன்	ɐ ɾ d͡ʑ u n ɐ n
அஞ்சலகம்	ɐ ɲ d͡ʑ ɐ l ɐ ɡ ɐ m
அளேரியம்	ɐ ɭ eː ɾ i j ɐ m
அகிபுசம்	ɐ ɡ i b u t͡ɕ ɐ m
அரியலூர்	ɐ ɾ i j ɐ l uː ɾ
அடிக்கடி	ɐ ɖ i kː ɐ ɖ i
அணிச்சல்	ɐ ɳ i t͡ɕː ɐ l
வக்திரம்	ʋ ɐ k t̪ i ɾ ɐ m
வல்லினம்	ʋ ɐ l l i n ɐ m
வல்லுநர்	ʋ ɐ l l u n̪ ɐ ɾ
வல்லுரம்	ʋ ɐ l l u ɾ ɐ m
வமிசாவளி	ʋ ɐ m i t͡ɕ aː ʋ ɐ ɭ i
ரம்மியம்	ɾ ɐ mː i j ɐ m
ரந்திரம்	ɾ ɐ n̪ d̪ i ɾ ɐ m
வன்னியர்	ʋ ɐ nː i j ɐ ɾ
அர்ப்பணி	ɐ ɾ pː ɐ ɳ i
வறுநிலம்	ʋ ɐ r u n̪ i l ɐ m
ரத்தினம்	ɾ ɐ t̪ː i n ɐ m
ரத்தபூமி	ɾ ɐ t̪ː ɐ b uː m i
வச்சநாபி	ʋ ɐ t͡ɕː ɐ n̪ aː b i
அணுக்கம்	ɐ ɳ u kː ɐ m
அணுக்கன்	ɐ ɳ u kː ɐ n
அருக்கன்	ɐ ɾ u kː ɐ n
அருப்பம்	ɐ ɾ u pː ɐ m
அழுத்தம்	ɐ ɻ u t̪ː ɐ m
அண்டையர்	ɐ ɳ ɖ a ɪ̯ j ɐ ɾ
ரஞ்சிதம்	ɾ ɐ ɲ d͡ʑ i d̪ ɐ m
வரிச்சல்	ʋ ɐ ɾ i t͡ɕː ɐ l
கடிகாரம்	ɡ ɐ ɖ i ɡ aː ɾ ɐ m
வடிவியல்	ʋ ɐ ɖ i ʋ i j ɐ l
வடிகட்டு	ʋ ɐ ɖ i ɡ ɐ ʈː u
அரசியும்	ɐ ɾ ɐ t͡ɕ i j u m
வருபோகம்	ʋ ɐ ɾ u b oː ɡ ɐ m
வரும்படி	ʋ ɐ ɾ u m b ɐ ɖ i
வகுத்தல்	ʋ ɐ ɡ u t̪ː ɐ l
வருத்தம்	ʋ ɐ ɾ u t̪ː ɐ m
அங்கூசம்	ɐ ŋ ɡ uː t͡ɕ ɐ m
வங்காளம்	ʋ ɐ ŋ ɡ aː ɭ ɐ m
வரதட்சணை	ʋ ɐ ɾ ɐ d̪ ɐ ʈ t͡ɕ ɐ ɳ a ɪ̯
வங்கியம்	ʋ ɐ ŋ ɡ i j ɐ m
வரலாற்று	ʋ ɐ ɾ ɐ l aː rː u
வழலிக்கை	ʋ ɐ ɻ ɐ l i kː a ɪ̯
வடமேற்கு	ʋ ɐ ɖ ɐ m eː r k u
வரன்முறை	ʋ ɐ ɾ ɐ n m u r a ɪ̯
அவரோகணம்	ɐ ʋ ɐ ɾ oː ɡ ɐ ɳ ɐ m
அடர்த்தி	ɐ ɖ ɐ ɾ t̪ː i
அளவுகோல்	ɐ ɭ ɐ ʋ u ɡ oː l
வளர்பிறை	ʋ ɐ ɭ ɐ ɾ b i r a ɪ̯
அகரமுதலி	ɐ ɡ ɐ ɾ ɐ m u d̪ ɐ l i
வளர்ப்பு	ʋ ɐ ɭ ɐ ɾ pː u
வளர்ச்சி	ʋ ɐ ɭ ɐ ɾ t͡ɕː i
அகரவரிசை	ɐ ɡ ɐ ɾ ɐ ʋ ɐ ɾ i t͡ɕ a ɪ̯
வழவழப்பு	ʋ ɐ ɻ ɐ ʋ ɐ ɻ ɐ pː u
அஞ்ஞானம்	ɐ ɲː aː n ɐ m
அவ்விடம்	ɐ ʋː i ɖ ɐ m
அவ்வருகு	ɐ ʋː ɐ ɾ u ɡ u
வைப்போம்	ʋajppoːm
வைத்தால்	ʋajt̪t̪aːl
வைத்துத்	ʋajt̪t̪ut̪
வசதிக்க்	ʋat͡ʃat̪ikk
வழக்கில்	ʋaɻakkil
வடக்குப்	ʋaʈakkup
வரவேற்பு	ʋaɾaʋeːrpu
வழங்கிய்	ʋaɻaŋkij
வளர்ச்சி	ʋaɭaɾt͡ʃt͡ʃi
ராஜிநாமா	ɾaːd͡ʒin̪aːmaː
ராஜ்கோட்	ɾaːd͡ʒkoːʈ
வாய்ப்பு	ʋaːjppu
ராக்கெட்	ɾaːkkeʈ
வருகிறது	ʋaɾukirat̪u
வருத்தம்	ʋaɾut̪t̪am
வாழ்க்கை	ʋaːɻkkaj
வாழ்நாள்	ʋaːɻn̪aːɭ
வாழ்ந்து	ʋaːɻn̪t̪u
வாழ்த்து	ʋaːɻt̪t̪u
வெனிசூலா	ʋenit͡ʃuːlaː
வென்றனர்	ʋenranaɾ
வென்றார்	ʋenraːɾ
வேதங்கள்	ʋeːt̪aŋkaɭ
வெள்ளிப்	ʋeɭɭip
வேண்டாம்	ʋeːɳʈaːm
வேண்டும்	ʋeːɳʈum
விநாயகர்	ʋin̪aːjakaɾ
விற்றுத்	ʋirrut̪
விரைந்து	ʋiɾajn̪t̪u
விரைவில்	ʋiɾajʋil
விவகாரம்	ʋiʋakaːɾam
விவரமும்	ʋiʋaɾamum
விழாவில்	ʋiɻaːʋil
விரோதமான	ʋiɾoːt̪amaːna
விடுமுறை	ʋiʈumuraj
விடுத்த்	ʋiʈut̪t̪
விடுத்து	ʋiʈut̪t̪u
விட்டனர்	ʋiʈʈanaɾ
விட்டதாக	ʋiʈʈat̪aːka
வீரராவது	ʋiːɾaɾaːʋat̪u
வீரர்கள்	ʋiːɾaɾkaɭ
வீரர்களை	ʋiːɾaɾkaɭaj
விஷ்வரூப	ʋiʂʋaɾuːpa
வீட்டின்	ʋiːʈʈin
அல்கொய்தா	alkojt̪aː
அமைப்பின்	amajppin
அமைச்சகம்	amajt͡ʃt͡ʃakam
அமைச்சராக	amajt͡ʃt͡ʃaɾaːka
அமெரிக்கா	ameɾikkaː
அம்சங்களை	amt͡ʃaŋkaɭaj
அனைத்தும்	anajt̪t̪um
அனைத்துமே	anajt̪t̪umeː
அனந்தபுரி	anan̪t̪apuɾi
அனுப்பிய்	anuppij
அந்நாட்டு	an̪n̪aːʈʈu
அறிவிப்பை	ariʋippaj
அறிவித்த்	ariʋit̪t̪
அறிவித்து	ariʋit̪t̪u
அதிகளவில்	at̪ikaɭaʋil
அதிகரிக்க	at̪ikaɾikka
அதிருப்தி	at̪iɾupt̪i
ஆதியாகமம்	aː d̪ i j aː ɡ ɐ m ɐ m
ஆற்றங்கரை	aː rː ɐ ŋ ɡ ɐ ɾ a ɪ̯
ஆச்சரியம்	aː t͡ɕː ɐ ɾ i j ɐ m
ஆராய்ச்சி	aː ɾ aː j t͡ɕː i
ஆணிமுத்து	aː ɳ i m u t̪ː u
ஆர்மீனியா	aː ɾ m iː n i j aː
ஆளுங்கணம்	aː ɭ u ŋ ɡ ɐ ɳ ɐ m
ஆவணப்படம்	aː ʋ ɐ ɳ ɐ pː ɐ ɖ ɐ m
ஆர்ட்டின்	aː ɾ ʈː i n
அழைக்கும்	aɻajkkum
அழைத்துச்	aɻajt̪t̪ut͡ʃ
அரசினுடைய	aɾat͡ʃinuʈajja
அவர்களால்	aʋaɾkaɭaːl
அவர்களில்	aʋaɾkaɭil
அவர்களின்	aʋaɾkaɭin
அரங்குகள்	aɾaŋkukaɭ
அளிக்கும்	aɭikkum
அளித்தனர்	aɭit̪t̪anaɾ
ஆலயத்தில்	aːlajat̪t̪il
ஆல்ஃப்ரடோ	aːlஃpɾaʈoː
ஆற்றுக்கு	aːrrukku
ஆஸ்திரியா	aːst̪iɾijaː
அணுகுமுறை	aɳukumuraj
அருள்மிகு	aɾuɭmiku
ஆணையராகப்	aːɳajjaɾaːkap
ஆராய்ச்சி	aːɾaːjt͡ʃt͡ʃi
அவ்விழாவை	aʋʋiɻaːʋaj
ஆங்காங்கே	aːŋkaːŋkeː
ஆட்சியராக	aːʈt͡ʃijaɾaːka
ஆட்சியில்	aːʈt͡ʃijil
ஆர்சிலார்	aːɾt͡ʃilaːɾ
ஆண்டுகளாக	aːɳʈukaɭaːka
பெஞ்சமின்	b e ɲ d͡ʑ ɐ m i n
பெங்களூர்	b e ŋ ɡ ɐ ɭ uː ɾ
பெங்களூரு	b e ŋ ɡ ɐ ɭ uː ɾ u
பிரகஸ்பதி	b i ɾ ɐ ɡ ɐ s p ɐ d̪ i
பிரகஸ்பதி	b r ɨ h ɐ s p a d̪ i
திசெம்பர்	d̪ i t͡ɕ ɐ m b ɐ ɾ
துருவவொளி	d̪ u ɾ u ʋ ɐ ʋ o ɭ i
தனுஷ்கோடி	d̪ ɐ n u ʂ k oː ɖ i
ஜெருசலேம்	d͡ʑ e ɾ u t͡ɕ ɐ l eː m
எதிர்பார்	e d̪ i ɾ b aː ɾ
எதிர்ச்சி	e d̪ i ɾ t͡ɕː i
எல்லாரும்	e l l aː ɾ u m
எலுமிச்சை	e l u m i t͡ɕː a ɪ̯
எனைத்தும்	e n a ɪ̯ t̪ː u m
என்னோரும்	e nː oː ɾ u m
எப்பொழுது	e pː o ɻ u d̪ u
எழுதுபடம்	e ɻ u d̪ u b ɐ ɖ ɐ m
எழுதுகோல்	e ɻ u d̪ u ɡ oː l
எழுந்தபடி	e ɻ u n̪ d̪ ɐ b ɐ ɖ i
எழுத்தாணி	e ɻ u t̪ː aː ɳ i
எங்கித்தை	e ŋ ɡ i t̪ː a ɪ̯
எண்ணிக்கை	e ɳː i kː a ɪ̯
எண்ணக்கரு	e ɳː ɐ kː ɐ ɾ u
எண்ணங்கள்	e ɳː ɐ ŋ ɡ ɐ ɭ
எனப்படும்	enappaʈum
எதிர்ப்பை	et̪iɾppaj
